Date,Open,High,Low,Close*,Adj Close**,Volume
"Jan 04, 2023",86.55,86.98,83.36,85.94,85.94,36370228
"Jan 03, 2023",85.46,86.96,84.21,85.82,85.82,76610700
"Dec 30, 2022",83.12,84.05,82.47,84.00,84.00,62330000
"Dec 29, 2022",82.87,84.55,82.55,84.18,84.18,54995900
"Dec 28, 2022",82.80,83.48,81.69,81.82,81.82,58228600
"Dec 27, 2022",84.97,85.35,83.00,83.04,83.04,57284000
"Dec 23, 2022",83.25,85.78,82.93,85.25,85.25,57433700
"Dec 22, 2022",85.52,85.68,82.25,83.79,83.79,81431300
"Dec 21, 2022",86.18,87.23,85.21,86.77,86.77,59267200
"Dec 20, 2022",85.33,86.61,84.33,85.19,85.19,74348300
"Dec 19, 2022",87.51,87.63,84.51,84.92,84.92,83531500
"Dec 16, 2022",88.27,89.35,86.73,87.86,87.86,146044000
"Dec 15, 2022",89.89,89.97,87.47,88.45,88.45,84802900
"Dec 14, 2022",92.50,93.46,89.87,91.58,91.58,70298000
"Dec 13, 2022",95.23,96.25,90.52,92.49,92.49,100212000
"Dec 12, 2022",89.21,90.58,87.87,90.55,90.55,61999800
"Dec 09, 2022",88.90,90.30,88.63,89.09,89.09,67316900
"Dec 08, 2022",89.24,90.86,87.88,90.35,90.35,73305900
"Dec 07, 2022",88.34,89.89,87.48,88.46,88.46,68086900
"Dec 06, 2022",90.50,91.04,87.90,88.25,88.25,75503600
"Dec 05, 2022",93.05,94.06,90.82,91.01,91.01,71535500
"Dec 02, 2022",94.48,95.36,93.78,94.13,94.13,72427000
"Dec 01, 2022",96.99,97.23,94.92,95.50,95.50,68488000
"Nov 30, 2022",92.47,96.54,91.53,96.54,96.54,102628200
"Nov 29, 2022",94.04,94.41,91.44,92.42,92.42,65567300
"Nov 28, 2022",93.93,96.40,93.43,93.95,93.95,74943100
"Nov 25, 2022",93.79,94.43,93.07,93.41,93.41,35088600
"Nov 23, 2022",93.24,94.58,92.83,94.13,94.13,59414700
"Nov 22, 2022",92.62,93.35,90.87,93.20,93.20,62192000
"Nov 21, 2022",93.97,95.02,90.59,92.46,92.46,84330300
"Nov 18, 2022",95.95,95.99,92.48,94.14,94.14,72428200
"Nov 17, 2022",95.37,96.97,94.03,94.85,94.85,82617900
"Nov 16, 2022",96.85,98.49,95.54,97.12,97.12,87958800
"Nov 15, 2022",103.21,103.79,97.34,98.94,98.94,111336300
"Nov 14, 2022",98.77,100.12,97.29,98.49,98.49,99533100
"Nov 11, 2022",97.88,101.19,96.66,100.79,100.79,111590500
"Nov 10, 2022",92.94,98.69,91.65,96.63,96.63,173414900
"Nov 09, 2022",89.47,89.48,85.87,86.14,86.14,90796200
"Nov 08, 2022",90.79,91.72,88.23,89.98,89.98,88703400
"Nov 07, 2022",91.95,92.10,89.04,90.53,90.53,77495700
"Nov 04, 2022",91.49,92.44,88.04,90.98,90.98,129101300
"Nov 03, 2022",92.47,93.50,89.02,89.30,89.30,136683300
"Nov 02, 2022",97.32,97.74,92.01,92.12,92.12,135761800
"Nov 01, 2022",103.99,104.58,96.06,96.79,96.79,153370000
"Oct 31, 2022",103.56,104.87,100.74,102.44,102.44,99251400
"Oct 28, 2022",97.91,103.96,97.66,103.41,103.41,223133400
"Oct 27, 2022",113.92,114.12,109.77,110.96,110.96,129605400
"Oct 26, 2022",116.00,119.35,114.76,115.66,115.66,68802300
"Oct 25, 2022",119.65,121.32,118.95,120.60,120.60,50934600
"Oct 24, 2022",119.98,120.39,116.57,119.82,119.82,49531500
"Oct 21, 2022",114.79,119.59,114.50,119.32,119.32,55660500
"Oct 20, 2022",113.83,118.24,113.51,115.25,115.25,48795100
"Oct 19, 2022",114.71,116.59,113.22,115.07,115.07,47198100
"Oct 18, 2022",119.06,119.52,114.79,116.36,116.36,65607400
"Oct 17, 2022",110.11,114.19,110.09,113.79,113.79,62782000
"Oct 14, 2022",114.10,114.96,106.60,106.90,106.90,67737300
"Oct 13, 2022",107.88,113.44,105.35,112.53,112.53,86868100
"Oct 12, 2022",112.49,113.83,111.40,112.90,112.90,45728700
"Oct 11, 2022",112.71,115.48,110.39,112.21,112.21,56432200
"Oct 10, 2022",115.10,116.25,112.43,113.67,113.67,42339700
"Oct 07, 2022",118.00,118.17,113.88,114.56,114.56,54678000
"Oct 06, 2022",120.77,121.53,119.50,120.30,120.30,42253800
"Oct 05, 2022",118.58,121.75,117.69,120.95,120.95,48217500
"Oct 04, 2022",119.89,123.00,119.79,121.09,121.09,62812600
"Oct 03, 2022",113.58,116.91,112.45,115.88,115.88,50941900
"Sep 30, 2022",114.08,116.92,112.84,113.00,113.00,59479600
"Sep 29, 2022",115.60,116.07,113.06,114.80,114.80,58969700
"Sep 28, 2022",114.38,118.70,113.80,118.01,118.01,55763800
"Sep 27, 2022",117.20,118.32,113.05,114.41,114.41,60094700
"Sep 26, 2022",113.30,117.34,113.13,115.15,115.15,62723300
"Sep 23, 2022",116.00,116.05,112.06,113.78,113.78,65126700
"Sep 22, 2022",117.08,118.79,116.26,117.31,117.31,55229200
"Sep 21, 2022",122.49,123.76,118.45,118.54,118.54,58498900
"Sep 20, 2022",123.35,124.40,121.14,122.19,122.19,47698400
"Sep 19, 2022",122.16,124.71,121.80,124.66,124.66,47279700
"Sep 16, 2022",122.78,123.87,120.70,123.53,123.53,115667800
"Sep 15, 2022",127.38,130.37,125.50,126.28,126.28,52887200
"Sep 14, 2022",127.36,128.84,126.33,128.55,128.55,45316800
"Sep 13, 2022",131.01,131.40,126.27,126.82,126.82,72694000
"Sep 12, 2022",134.10,136.49,134.00,136.45,136.45,53826900
"Sep 09, 2022",130.91,133.69,130.76,133.27,133.27,49387600
"Sep 08, 2022",127.72,130.28,127.10,129.82,129.82,43988500
"Sep 07, 2022",126.12,129.82,125.40,129.48,129.48,47900300
"Sep 06, 2022",127.92,128.62,124.74,126.11,126.11,43888600
"Sep 02, 2022",129.50,131.38,126.39,127.51,127.51,57429800
"Sep 01, 2022",126.00,128.02,123.66,127.82,127.82,56636100
"Aug 31, 2022",129.45,130.59,126.74,126.77,126.77,53648700
"Aug 30, 2022",131.25,132.07,126.85,128.73,128.73,49203000
"Aug 29, 2022",129.90,131.95,128.77,129.79,129.79,48101600
"Aug 26, 2022",136.55,137.83,130.50,130.75,130.75,53322700
"Aug 25, 2022",135.26,137.42,134.28,137.28,137.28,37496300
"Aug 24, 2022",132.75,135.47,132.10,133.80,133.80,38627000
"Aug 23, 2022",133.41,134.99,132.95,133.62,133.62,36252100
"Aug 22, 2022",135.72,136.32,132.85,133.22,133.22,50461500
"Aug 19, 2022",140.47,141.11,137.91,138.23,138.23,47792800
"Aug 18, 2022",141.32,142.77,140.38,142.30,142.30,37458700
"Aug 17, 2022",142.69,143.38,140.78,142.10,142.10,48149800
"Aug 16, 2022",143.91,146.57,142.00,144.78,144.78,59102900
"Aug 15, 2022",142.80,143.76,141.49,143.18,143.18,39014600
"Aug 12, 2022",142.05,143.57,140.12,143.55,143.55,47643500
*Close price adjusted for splits.**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,*Close price adjusted for splits.**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,*Close price adjusted for splits.**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,*Close price adjusted for splits.**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,*Close price adjusted for splits.**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,*Close price adjusted for splits.**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,*Close price adjusted for splits.**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.
