,0
0,narrowed
1,earlier
2,transfer
3,gas
4,liquid
5,long
6,subscribed
7,metso
8,adp
9,ruukki
10,afx
11,south
12,chemical
13,digia
14,omx
15,already
16,aldata
17,low
18,poyry
19,pohjola
20,small
21,cramo
22,incap
23,received
24,mln
25,le
26,different
27,sell
28,scanfil
29,ramirent
30,yesterday
31,general
32,wednesday
33,commercial
34,outotec
35,ago
36,basware
37,return
38,diluted
39,tax
40,temporary
41,glaston
42,vaahto
43,cut
44,huhtamaki
45,hel
46,month
47,lower
48,based
49,atrium
50,phone
51,pay
52,negative
53,fiskars
54,issue
55,large
56,dividend
57,okmetic
58,pretax
59,fell
60,declined
61,quarter
62,target
63,compared
64,situation
65,almost
66,near
67,without
68,raute
69,posted
70,pct
71,north
72,sq
73,vaisala
74,outokumpu
75,turnover
76,loss
77,fair
78,main
79,temporarily
80,neste
81,half
82,decreased
83,germany
84,bank
85,invoice
86,aspocomp
87,china
88,nasdaq
89,mill
90,fortum
91,excluding
92,reported
93,stock
94,size
95,condition
96,call
97,sold
98,machine
99,pulp
